Feature ID	Taxon	Confidence
ASV_18S_2753	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.8415057317212971
ASV_18S_2754	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.8920482103175749
ASV_18S_2755	Unassigned	0.4225435007250189
ASV_18S_2757	d__Bacteria;k__Bacteria	0.9210276014432818
ASV_18S_2758	d__Eukaryota;k__Animalia;p__Cnidaria;c__Myxozoa;o__Bivalvulida;os__Bivalvulida;f__Bivalvulida;fs__Bivalvulida;g__Bivalvulida	0.7719497530373346
ASV_18S_2759	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7608547159269284
ASV_18S_2760	Unassigned	0.4509118048144425
ASV_18S_2761	d__Bacteria;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;os__Rickettsiales;f__Mitochondria;fs__Mitochondria;g__Mitochondria	0.7617373586630792
ASV_18S_2763	d__Eukaryota;k__Animalia	0.747317731506842
ASV_18S_2764	Unassigned	0.4638409173721104
ASV_18S_2765	Unassigned	0.43733831882439733
ASV_18S_2766	Unassigned	0.3728227977880355
ASV_18S_2771	d__Eukaryota;k__Chloroplastida;p__Phragmoplastophyta;c__Embryophyta;o__Liliopsida;os__Incertae_Sedis;f__Incertae_Sedis;fs__Incertae_Sedis;g__Zostera	0.9642758806836076
ASV_18S_2774	d__Eukaryota	0.9986273182698553
ASV_18S_2775	d__Eukaryota;k__Stramenopiles;p__Labyrinthulomycetes;c__Labyrinthulomycetes;o__Labyrinthulomycetes;os__Labyrinthulomycetes;f__Thraustochytriaceae;fs__Thraustochytriaceae;g__Aplanochytrium	0.9998547829223962
